B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
JS0226,Aganga,2000,Asian-Australasian Journal of Animal Sciences,10.5713/ajas.2000.1127,
JS0230,Aganga,1999,Tropical Animal Health and Production,10.1023/a:;1005203806867,
JS0243,Alemu,2010,Tropical Animal Health and Production,10.1007/s11250-009-9466-9,
JS0249,Asmare,2010,Tropical Animal Health and Production,10.1007/s11250-010-9591-5,
JS0261,Betsha,2009,Tropical Animal Health and Production,10.1007/s11250-008-9281-8,
JS0263,Bonsi,1994,Animal Science,10.1017/S0003356100007728,
JS0265,Bonsi,1995,Agroforestry Systems,10.1007/bf00712077,
JS0269.1,Coppock,1992,Journal of Range Management,10.2307/4002969,
JS0269.2,Coppock,1992,Journal of Range Management,10.2307/4002969,
JS0271,Dana,2000,Livestock Production Science,10.1016/S0301-6226(00)00154-8,
JS0272,Degu,2009,Animal Feed Science and Technology,10.1016/j.anifeedsci.2008.03.014,
JS0273,Dessie,2010,Tropical Animal Health and Production,10.1007/s11250-009-9496-3,
JS0276,Gebregiorgis,2012,Tropical Animal Health and Production,10.1007/s11250-011-9927-9,
JS0281,Getachew,1994,Animal Feed Science and Technology,10.1016/0377-8401(94)90068-x,
JS0285,Hagos,2009,Tropical Animal Health and Production,10.1007/s11250-008-9230-6,
JS0289.1,Kaitho,1998,Livestock Production Science,10.1016/s0301-6226(97)00152-8,
JS0289.2,Kaitho,1998,Livestock Production Science,10.1016/s0301-6226(97)00152-8,
JS0290,Kaitho,1998,Agroforestry Systems,10.1023/a:;1005952801489,
JS0291,Kaitho,1998,Animal Feed Science and Technology,10.1016/s0377-8401(97)00159-4,
JS0301,Mekuriaw,2018,Agriculture and Food Security,10.1186/s40066-018-0182-4,
JS0305,Abo-Zeid,2017,Animal Feed Science and Technology,10.1016/j.anifeedsci.2017.09.011,
JS0311,Agbor,2013,Tropical Animal Health and Production,10.1007/s11250-012-0327-6,
JS0314,Ahmed,2015,Small Ruminant Research,10.1016/j.smallrumres.2015.05.004,
JS0316,Bekele,2013,Tropical Animal Health and Production,10.1007/s11250-013-0413-4,
JS0340,Oke,2017,Journal of Animal Physiology and Animal Nutrition,10.1111/jpn.12597,
JS0341,Oke,2015,Journal of Animal Physiology and Animal Nutrition,10.1111/jpn.12353,
JS0342,Okoro,2017,Chilean Journal of Agricultural Research,10.4067/S0718-58392017000400365,
JS0344,Olafadehan,2014,Tropical Animal Health and Production,10.1007/s11250-014-0590-9,
JS0345,Selemani,2016,Tropical Animal Health and Production,10.1007/s11250-015-0935-z,
JS0349,Smeti,2015,Tropical Animal Health and Production,10.1007/s11250-014-0721-3,
JS0350,Smeti,2015,Animal Science Journal,10.1111/asj.12352,
JS0371,Nesseim,2015,Tropical Animal Health and Production,10.1007/s11250-015-0897-1,
JS0418,Ngodigha,1994,Journal of Applied Animal Research,10.1080/09712119.1994.9706031,
JS0419,Ben Salem,2004,Small Ruminant Research,10.1016/S0921-4488(03)00186-X,
JS0421,Brand,1997,Small Ruminant Research,10.1016/s0921-4488(96)00998-4,
JS0423,Nwanna,2009,Scienceasia,10.2306/scienceasia1513-1874.2009.35.227,
JS0424,Kato,2013,Livestock Research for Rural Development,,https://www.researchgate.net/profile/Fred-Kabi/publication/237085419_Effect_of_supplementary_protein_source_on_the_performance_of_indigenous_meat_goats_fed_Guinea_grass_hay/links/00b7d51f3934756a06000000/Effect-of-supplementary-protein-source-on-the-performance-of-indigenous-meat-goats-fed-Guinea-grass-hay.pdf
LM0016,Fombad,2004,Tropical Animal Health and Production,10.1023/b:;trop.0000016828.48326.59,
LM0018,Ngwa,2002,Tropical Animal Health and Production,10.1023/a:1013789929102,
LM0020,Njoya,2005,Small Ruminant Research,10.1016/S0921-4488(03)00010-5,
LM0024.2,Pamo,2006,Small Ruminant Research,10.1016/j.smallrumres.2005.02.011,
LM0047,Ikurior,1988,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740440102,
LM0048,Ikurior,1993,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740610304,
LM0100,Njidda,2010,Pakistan Veterinary Journal,,http://www.pvj.com.pk/pdf-files/30_1/7-12.pdf?q=the-science-of-alli
LM0101,Mubi,2008,Asian Journal of Animal and Veterinary Advances, 10.3923/ajava.2008.183.186,
LM0104,Kibon,1993,Tropical Animal Health and Production,10.1007/bf02236887,
LM0113.1,Brand,2001,New Zealand Journal of Agricultural Research,10.1080/00288233.2001.9513459,
LM0113.2,Brand,2001,New Zealand Journal of Agricultural Research,10.1080/00288233.2001.9513459,
LM0116,Cronje,1990,South African Journal of Animal Science,,https://www.ajol.info/index.php/sajas/article/view/138885/128556
LM0117.1,Figueiredo,1994,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740660205,
LM0117.2,Figueiredo,1994,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740660205,
LM0117.3,Figueiredo,1994,Journal of the Science of Food and Agriculture,10.1002/jsfa.2740660205,
LM0122,Hoffman,1997,Water Sa,,https://www.wrc.org.za/wp-content/uploads/mdocs/WaterSA_1997_02_1009.PDF
LM0123,Lehmann,2006,South African Journal of Animal Science,,https://www.researchgate.net/publication/277851773_Substituting_maize_grain_with_barley_grain_in_concentrates_fed_to_Jersey_cows_grazing_kikuyu-ryegrass_pasture
LM0124,Malleson,2008,South African Journal of Animal Science,,http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892008000400006
LM0125,Malleson,2009,Tropical Grasslands,,https://repository.up.ac.za/handle/2263/14350
LM0126,Mapiye,2009,Livestock Science,10.1016/j.livsci.2009.07.001,
LM0127,Meeske,2006,South African Journal of Animal Science,10.4314/sajas.v36i2.3992,
LM0128,Mohlapo,2009,Tropical Animal Health and Production,10.1007/s11250-009-9351-6,
